preference_id,genre,category_id,user_id
1,2,1,1087
2,1,1,1001
3,14,2,1001
4,19,3,1001
5,999,7,1001
6,1,1,1002
7,2,1,1002
8,4,1,1002
9,5,1,1002
10,10,1,1002
11,7,1,1002
12,13,2,1002
13,14,2,1002
14,17,2,1002
15,19,3,1002
16,20,3,1002
17,21,3,1002
18,22,3,1002
19,23,3,1002
20,24,3,1002
21,999,5,1002
22,999,7,1002
23,999,9,1002
24,999,10,1002
25,999,11,1002
26,999,11,1004
27,2,1,1005
28,4,1,1005
29,5,1,1005
30,6,1,1005
31,19,3,1005
32,20,3,1005
33,23,3,1005
34,999,9,1005
35,999,10,1006
36,1,1,1007
37,2,1,1007
38,3,1,1007
39,8,1,1007
40,9,1,1007
41,13,2,1007
42,14,2,1007
43,19,3,1007
44,21,3,1007
45,22,3,1007
46,999,7,1007
47,1,1,1008
48,2,1,1008
49,7,1,1008
50,14,2,1008
51,19,3,1008
52,999,6,1008
53,7,1,1009
54,8,1,1009
55,10,1,1009
56,14,2,1009
57,19,3,1009
58,20,3,1009
59,21,3,1009
60,22,3,1009
61,23,3,1009
62,24,3,1009
63,999,5,1009
64,999,6,1009
65,999,7,1009
66,999,9,1009
67,999,10,1009
68,999,11,1009
69,1,1,1010
70,2,1,1010
71,7,1,1010
72,8,1,1010
73,9,1,1010
74,13,2,1010
75,14,2,1010
76,17,2,1010
77,19,3,1010
78,20,3,1010
79,21,3,1010
80,22,3,1010
81,999,7,1010
82,999,10,1010
83,999,11,1010
84,2,1,1011
85,4,1,1011
86,5,1,1011
87,6,1,1011
88,8,1,1011
89,9,1,1011
90,13,2,1011
91,14,2,1011
92,17,2,1011
93,19,3,1011
94,20,3,1011
95,23,3,1011
96,24,3,1011
97,999,6,1011
98,999,7,1011
99,999,10,1011
100,1,1,1012
101,2,1,1012
102,3,1,1012
103,4,1,1012
104,5,1,1012
105,6,1,1012
106,7,1,1012
107,8,1,1012
108,9,1,1012
109,10,1,1012
110,11,1,1012
111,12,1,1012
112,14,2,1012
113,15,2,1012
114,17,2,1012
115,19,3,1012
116,20,3,1012
117,21,3,1012
118,22,3,1012
119,23,3,1012
120,24,3,1012
121,999,5,1012
122,999,6,1012
123,999,7,1012
124,999,9,1012
125,999,10,1012
126,999,11,1012
127,1,1,1013
128,2,1,1013
129,3,1,1013
130,4,1,1013
131,5,1,1013
132,6,1,1013
133,7,1,1013
134,9,1,1013
135,13,2,1013
136,14,2,1013
137,16,2,1013
138,17,2,1013
139,19,3,1013
140,20,3,1013
141,999,7,1013
142,999,10,1013
143,5,1,1014
144,6,1,1014
145,14,2,1014
146,19,3,1014
147,23,3,1014
148,999,9,1014
149,1,1,1015
150,2,1,1015
151,4,1,1015
152,6,1,1015
153,10,1,1015
154,19,3,1015
155,999,7,1015
156,999,10,1015
157,1,1,1016
158,2,1,1016
159,7,1,1016
160,13,2,1016
161,14,2,1016
162,19,3,1016
163,999,7,1016
164,999,10,1016
165,4,1,1017
166,19,3,1017
167,20,3,1017
168,23,3,1017
169,999,6,1017
170,999,9,1017
171,999,10,1017
172,14,2,1018
173,18,2,1018
174,20,3,1018
175,23,3,1018
176,999,5,1018
177,999,7,1018
178,999,11,1018
179,1,1,1019
180,2,1,1019
181,5,1,1019
182,6,1,1019
183,10,1,1019
184,14,2,1019
185,19,3,1019
186,999,7,1019
187,1,1,1020
188,2,1,1020
189,3,1,1020
190,4,1,1020
191,5,1,1020
192,7,1,1020
193,8,1,1020
194,9,1,1020
195,10,1,1020
196,13,2,1020
197,14,2,1020
198,15,2,1020
199,16,2,1020
200,17,2,1020
201,19,3,1020
202,20,3,1020
203,21,3,1020
204,22,3,1020
205,24,3,1020
206,999,5,1020
207,999,10,1020
208,1,1,1021
209,2,1,1021
210,3,1,1021
211,10,1,1021
212,13,2,1021
213,14,2,1021
214,15,2,1021
215,16,2,1021
216,17,2,1021
217,19,3,1021
218,21,3,1021
219,22,3,1021
220,23,3,1021
221,24,3,1021
222,999,5,1021
223,999,6,1021
224,999,7,1021
225,999,11,1021
226,14,2,1022
227,17,2,1022
228,18,2,1022
229,999,5,1022
230,999,7,1022
231,999,9,1022
232,999,11,1022
233,1,1,1023
234,3,1,1023
235,8,1,1023
236,12,1,1023
237,14,2,1023
238,999,7,1023
239,999,9,1023
240,999,11,1023
241,13,2,1024
242,14,2,1024
243,999,6,1024
244,999,7,1024
245,999,10,1024
246,1,1,1025
247,2,1,1025
248,3,1,1025
249,5,1,1025
250,9,1,1025
251,10,1,1025
252,13,2,1025
253,14,2,1025
254,15,2,1025
255,16,2,1025
256,17,2,1025
257,19,3,1025
258,20,3,1025
259,21,3,1025
260,22,3,1025
261,23,3,1025
262,999,5,1025
263,999,7,1025
264,999,9,1025
265,999,10,1025
266,999,11,1025
267,1,1,1026
268,4,1,1026
269,5,1,1026
270,7,1,1026
271,19,3,1026
272,999,6,1026
273,1,1,1027
274,2,1,1027
275,3,1,1027
276,9,1,1027
277,10,1,1027
278,11,1,1027
279,13,2,1027
280,14,2,1027
281,17,2,1027
282,18,2,1027
283,19,3,1027
284,20,3,1027
285,23,3,1027
286,999,6,1027
287,999,7,1027
288,999,9,1027
289,999,10,1027
290,14,2,1028
291,999,6,1028
292,999,7,1028
293,999,10,1028
294,1,1,1029
295,2,1,1029
296,4,1,1029
297,5,1,1029
298,6,1,1029
299,13,2,1029
300,14,2,1029
301,17,2,1029
302,19,3,1029
303,23,3,1029
304,999,5,1029
305,999,7,1029
306,999,9,1029
307,1,1,1030
308,5,1,1030
309,6,1,1030
310,9,1,1030
311,17,2,1030
312,19,3,1030
313,20,3,1030
314,23,3,1030
315,999,5,1030
316,999,7,1030
317,1,1,1031
318,5,1,1031
319,8,1,1031
320,19,3,1031
321,20,3,1031
322,22,3,1031
323,23,3,1031
324,24,3,1031
325,999,5,1031
326,999,7,1031
327,999,9,1031
328,999,11,1031
329,1,1,1032
330,2,1,1032
331,4,1,1032
332,5,1,1032
333,6,1,1032
334,14,2,1032
335,19,3,1032
336,20,3,1032
337,21,3,1032
338,22,3,1032
339,23,3,1032
340,24,3,1032
341,999,6,1032
342,999,7,1032
343,999,9,1032
344,999,10,1032
345,999,11,1032
346,8,1,1033
347,14,2,1033
348,15,2,1033
349,19,3,1033
350,20,3,1033
351,24,3,1033
352,999,11,1033
353,1,1,1034
354,7,1,1034
355,8,1,1034
356,10,1,1034
357,14,2,1034
358,19,3,1034
359,21,3,1034
360,22,3,1034
361,23,3,1034
362,24,3,1034
363,999,9,1034
364,999,10,1034
365,999,11,1034
366,1,1,1035
367,2,1,1035
368,3,1,1035
369,4,1,1035
370,5,1,1035
371,8,1,1035
372,9,1,1035
373,10,1,1035
374,13,2,1035
375,14,2,1035
376,17,2,1035
377,19,3,1035
378,22,3,1035
379,23,3,1035
380,999,5,1035
381,999,7,1035
382,999,9,1035
383,1,1,1036
384,4,1,1036
385,5,1,1036
386,7,1,1036
387,10,1,1036
388,14,2,1036
389,17,2,1036
390,19,3,1036
391,21,3,1036
392,22,3,1036
393,999,7,1036
394,999,9,1036
395,999,10,1036
396,999,11,1036
397,1,1,1037
398,5,1,1037
399,7,1,1037
400,13,2,1037
401,14,2,1037
402,17,2,1037
403,19,3,1037
404,20,3,1037
405,23,3,1037
406,999,5,1037
407,999,9,1037
408,999,10,1037
409,1,1,1038
410,2,1,1038
411,4,1,1038
412,14,2,1038
413,17,2,1038
414,999,10,1038
415,14,2,1039
416,19,3,1039
417,999,5,1039
418,1,1,1040
419,2,1,1040
420,4,1,1040
421,11,1,1040
422,14,2,1040
423,17,2,1040
424,19,3,1040
425,21,3,1040
426,22,3,1040
427,24,3,1040
428,999,5,1040
429,999,7,1040
430,1,1,1041
431,2,1,1041
432,5,1,1041
433,7,1,1041
434,8,1,1041
435,13,2,1041
436,14,2,1041
437,17,2,1041
438,18,2,1041
439,19,3,1041
440,20,3,1041
441,999,7,1041
442,999,10,1041
443,2,1,1042
444,3,1,1042
445,4,1,1042
446,5,1,1042
447,6,1,1042
448,11,1,1042
449,19,3,1042
450,20,3,1042
451,21,3,1042
452,23,3,1042
453,24,3,1042
454,999,7,1042
455,2,1,1043
456,4,1,1043
457,6,1,1043
458,9,1,1043
459,14,2,1043
460,19,3,1043
461,23,3,1043
462,999,5,1043
463,999,6,1043
464,999,7,1043
465,999,10,1043
466,2,1,1044
467,5,1,1044
468,6,1,1044
469,11,1,1044
470,13,2,1044
471,14,2,1044
472,18,2,1044
473,19,3,1044
474,24,3,1044
475,999,5,1044
476,999,6,1044
477,999,7,1044
478,999,9,1044
479,999,10,1044
480,999,11,1044
481,2,1,1045
482,5,1,1045
483,6,1,1045
484,9,1,1045
485,11,1,1045
486,12,1,1045
487,13,2,1045
488,14,2,1045
489,19,3,1045
490,999,6,1045
491,999,7,1045
492,999,11,1045
493,5,1,1046
494,8,1,1046
495,14,2,1046
496,22,3,1046
497,23,3,1046
498,999,7,1046
499,1,1,1047
500,4,1,1047
501,5,1,1047
502,13,2,1047
503,14,2,1047
504,18,2,1047
505,19,3,1047
506,20,3,1047
507,21,3,1047
508,22,3,1047
509,24,3,1047
510,999,7,1047
511,999,10,1047
512,999,11,1047
513,1,1,1048
514,3,1,1048
515,4,1,1048
516,5,1,1048
517,9,1,1048
518,19,3,1048
519,20,3,1048
520,22,3,1048
521,999,5,1048
522,999,7,1048
523,999,10,1048
524,2,1,1049
525,3,1,1049
526,10,1,1049
527,14,2,1049
528,17,2,1049
529,19,3,1049
530,20,3,1049
531,21,3,1049
532,22,3,1049
533,999,6,1049
534,999,7,1049
535,999,10,1049
536,999,11,1049
537,1,1,1050
538,2,1,1050
539,3,1,1050
540,8,1,1050
541,9,1,1050
542,10,1,1050
543,14,2,1050
544,15,2,1050
545,17,2,1050
546,18,2,1050
547,19,3,1050
548,20,3,1050
549,23,3,1050
550,999,5,1050
551,999,9,1050
552,999,11,1050
553,1,1,1051
554,2,1,1051
555,3,1,1051
556,8,1,1051
557,14,2,1051
558,17,2,1051
559,19,3,1051
560,20,3,1051
561,21,3,1051
562,22,3,1051
563,24,3,1051
564,999,5,1051
565,999,6,1051
566,999,7,1051
567,999,9,1051
568,999,10,1051
569,999,11,1051
570,2,1,1052
571,8,1,1052
572,14,2,1052
573,17,2,1052
574,999,6,1052
575,999,7,1052
576,999,9,1052
577,999,10,1052
578,13,2,1053
579,14,2,1053
580,23,3,1053
581,1,1,1054
582,14,2,1054
583,19,3,1054
584,999,5,1054
585,999,6,1054
586,999,7,1054
587,999,11,1054
588,1,1,1055
589,13,2,1055
590,14,2,1055
591,999,11,1055
592,2,1,1056
593,8,1,1056
594,13,2,1056
595,14,2,1056
596,19,3,1056
597,20,3,1056
598,999,6,1056
599,999,7,1056
600,999,9,1056
601,2,1,1057
602,5,1,1057
603,6,1,1057
604,14,2,1057
605,19,3,1057
606,24,3,1057
607,999,7,1057
608,17,2,1058
609,999,5,1058
610,999,6,1058
611,999,7,1058
612,1,1,1059
613,10,1,1059
614,12,1,1059
615,13,2,1059
616,14,2,1059
617,17,2,1059
618,19,3,1059
619,24,3,1059
620,999,7,1059
621,999,11,1059
622,1,1,1060
623,2,1,1060
624,4,1,1060
625,9,1,1060
626,10,1,1060
627,12,1,1060
628,999,5,1060
629,3,1,1061
630,5,1,1061
631,6,1,1061
632,9,1,1061
633,11,1,1061
634,999,6,1061
635,999,7,1061
636,999,10,1061
637,1,1,1062
638,5,1,1062
639,7,1,1062
640,10,1,1062
641,14,2,1062
